,Unnamed: 0.1,Unnamed: 0,Developer,Repository Name,Number of Stars,Language,Topics,AI / Data / ML,Systems / Embedded / Robotics,Web / Mobile / Application Development,DevOps / Infrastructure / Cloud,Security / Networking,Data Platforms / Backend Services / Integrations,CLI / Utilities / Developer Tools,Libraries / SDKs / Framework Components,Research / Experiments / Demos,Education / Tutorials / Docs,top_genre
57,57,57,@pi0,nitrojs/nitro,9254,TypeScript,['No topics'],0.0,0.0,0.4375,0.3,0.275,1.0,0.1,0.4625,0.0,0.0125,Data Platforms / Backend Services / Integrations
58,58,58,@alyssawilk,envoyproxy/envoy,26884,C++,"['cats', 'cncf', 'corgis', 'cars', 'rocket-ships', 'more-cats', 'cats-over-dogs', 'nanoservices']",0.0,0.0050441361916771,0.0113493064312736,0.4728877679697352,0.669609079445145,1.0,0.0037831021437578,0.996216897856242,0.0580075662042875,0.0163934426229508,Data Platforms / Backend Services / Integrations
59,59,59,@omarsar,dair-ai/Prompt-Engineering-Guide,64911,MDX,"['agent', 'deep-learning', 'openai', 'language-model', 'agents', 'ai-agents', 'rag', 'prompt-engineering', 'llms', 'generative-ai', 'chatgpt']",1.0,0.0,0.054054054054054,0.0024570024570024,0.0,0.0024570024570024,0.0098280098280098,0.0098280098280098,0.3808353808353808,0.0982800982800982,AI / Data / ML
60,60,60,@ShuaiBai623,QwenLM/Qwen3-VL,15247,Jupyter Notebook,['No topics'],1.0,0.0,0.0,0.0581818181818181,0.0,0.0109090909090909,0.0436363636363636,0.0036363636363636,0.2109090909090909,0.04,AI / Data / ML
61,61,61,@emilio,servo/servo,32459,Rust,"['rust', 'browser', 'web', 'servo', 'webbrowser', 'webplatform', 'webengine']",0.1252759381898454,0.347682119205298,0.0629139072847682,0.5419426048565121,1.0,0.0469094922737306,0.0055187637969094,0.2163355408388521,0.6986754966887417,0.4586092715231788,Security / Networking
62,62,62,@imoneoi,sapientinc/HRM,11493,Python,"['deep-learning', 'reasoning', 'large-language-models', 'brain-inspired-ai']",1.0,0.0,0.0,0.0,0.0,0.0384615384615384,0.6538461538461539,0.0769230769230769,0.3076923076923077,0.1923076923076923,AI / Data / ML
63,63,63,@awesomekling,LadybirdBrowser/ladybird,54697,C++,"['browser', 'browser-engine']",0.0077182826821032,1.0,0.0139893873613121,0.0583695127834056,0.0062711046792088,0.004341534008683,0.0024119633381572,0.0231548480463096,0.3878437047756874,0.0892426435118186,Systems / Embedded / Robotics
64,64,64,@guofei9987,guofei9987/blind_watermark,10534,Python,"['image-processing', 'watermark', 'watermark-image', 'blind-watermark']",0.0,0.2333333333333333,0.0333333333333333,0.0,1.0,0.0,0.2,0.0,0.0,0.0333333333333333,Security / Networking
65,65,65,@yeongpin,yeongpin/cursor-free-vip,39526,Python,"['automation', 'free', 'cursor', 'cursors', 'pro', 'cursor-ide', 'freetrial', 'cursorai', 'cursor-ai']",0.6,0.0,0.0,0.0,0.6,0.0,1.0,0.6,1.0,1.0,CLI / Utilities / Developer Tools
66,66,66,@ultmaster,microsoft/agent-lightning,4237,Python,"['agent', 'reinforcement-learning', 'mlops', 'llm', 'agentic-ai']",1.0,0.0,0.0,0.0224719101123595,0.0112359550561797,0.0898876404494382,0.0561797752808988,0.0112359550561797,0.1573033707865168,0.247191011235955,AI / Data / ML
67,67,67,@harshavardhana,minio/minio,57603,Go,"['go', 'kubernetes', 'cloud', 'storage', 's3', 'k8s', 'cloudnative', 'objectstorage', 'multi-cloud', 'cloudstorage', 'amazon-s3', 'multi-cloud-kubernetes']",0.0106382978723404,0.0106382978723404,0.0,1.0,0.0851063829787234,0.0496453900709219,0.0,0.0319148936170212,0.0106382978723404,0.0602836879432624,DevOps / Infrastructure / Cloud
68,68,68,@moondevonyt,moondevonyt/moon-dev-ai-agents,1835,Python,['No topics'],0.3041695146958305,0.0,0.0020505809979494,0.0136705399863294,0.0006835269993164,0.0068352699931647,0.0095693779904306,0.0006835269993164,1.0,0.0075187969924812,Research / Experiments / Demos
69,69,69,@CarsonRoscoe,coinbase/x402,3480,TypeScript,['No topics'],0.0163316582914572,0.0917085427135678,1.0,0.0,0.3731155778894472,0.2097989949748743,0.0012562814070351,0.0829145728643216,0.0615577889447236,0.0565326633165829,Web / Mobile / Application Development
70,70,70,@abdulfatir,amazon-science/chronos-forecasting,4093,Python,"['machine-learning', 'timeseries', 'time-series', 'transformers', 'artificial-intelligence', 'forecasting', 'pretrained-models', 'time-series-forecasting', 'huggingface', 'huggingface-transformers', 'foundation-models', 'large-language-models', 'llm']",1.0,0.0,0.0,0.1714285714285714,0.0285714285714285,0.0428571428571428,0.0,0.0571428571428571,0.7428571428571429,0.2428571428571428,AI / Data / ML
71,71,71,@gschier,mountain-loop/yaak,14615,TypeScript,"['graphql', 'http', 'websocket', 'grpc', 'http-client', 'sse', 'tauri', 'postman-alternative', 'insomnia-alternative', 'bruno-alternative']",0.0,0.0,1.0,0.0125628140703517,0.0351758793969849,0.0452261306532663,0.1683417085427135,0.1281407035175879,0.0025125628140703,0.0050251256281407,Web / Mobile / Application Development
